customer_id,age,gender,annual_income,purchase_amount,purchase_date,city,product_category,rating,loyalty_member
1860.0,54,,64653 USD,4839.323231247608,18/09/2018,,home,3.9,No
6390.0,,male,110481,286.77382935259624,15/10/2022,mumbai,electronics,4.6,1
6226.0,23,female,72802,1653.0764573090369,2023-01-23,Mumbai,,3.2,0
6191.0,38,M,"27,549",2036.1591064046295,2021-07-03,,Electronics,4.2/5,Yes
4772.0,49,Male,98933 USD,1244.2499090052866,2019-12-29,Mumbai,Electronics,3.4,N
4092.0,52,Female,45362,2331.740074339916,2023-03-02,Chennai,electronics,2.5,Yes
6734.0,32,female,67842 USD,1505.6501287574151,18/12/2021,Delhi,Electronics,3.5,1
1466.0,22,M,"66,539",2310.1680154247815,16/05/2019,Chennai,,2.0,N
6334.0,63,,$53717,3716.526265401003,2020-10-12,Delhi,,3.5,Y
5426.0,67,F,$74596,2905.057631256606,10-13-2018,Chennai,Electronics,1.7,No
6578.0,65,,"135,209",99999,2023-05-16,,Home,1.7,No
4444.0,23,M,"43,016",1583.128724300401,2018-01-07,Chennai,electronics,3.7,1
4171.0,42,,75200 USD,3619.559472476876,03-01-2022,Chennai,home,,0
3919.0,63,,100268 USD,2283.497832632539,2023-03-31,,electronics,2.1,1
1130.0,57,Female,$80287,2739.835461845145,05-07-2021,Mumbai,home,1.8,No
2685.0,46,male,"135,042",81.3109425030947,15/06/2022,Delhi,Electronics,3.9/5,
1769.0,24,Female,147922,580.0244456524941,10-21-2019,Kolkata,Electronics,4.7,N
3391.0,57,Male,"112,447",581.1781842129752,07-25-2020,Chennai,home,3.6,
6611.0,30,Male,$103402,2424.678430178989,2021-12-12,Hyderabad,Home,1.7/5,0
3433.0,55,Female,62607 USD,1904.601119660206,2022-08-13,Hyderabad,Home,3.8,Yes
6311.0,35,female,"47,621",916.0717668311164,21/02/2018,mumbai,Home,3.3,Y
6051.0,19,female,32823,4479.75979117032,2018-08-31,mumbai,Clothing,3.9,0
2184.0,25,,49986,4731.525657135358,2021-05-27,Mumbai,,1.7,N
5555.0,28,,"141,682",804.9443364371602,02/06/2019,Bangalore,,3.2/5,Y
4385.0,50,F,84325,397.16637392992976,2020-08-27,Kolkata,,4.4/5,1
5117.0,N/A,Male,136903,523.0729167860708,04-19-2018,Mumbai,Home,1.3,N
5843.0,55,F,147925,3578.3556804247105,2021-10-06,Bangalore,Electronics,4.1/5,N
3904.0,65,Male,"139,404",300.6065357262845,2020-07-09,Mumbai,Clothing,4.9,N
,44,Female,77771,4950.535355707528,2018-03-07,mumbai,Home,2.0,Yes
2082.0,37,female,74973 USD,1269.5238295008262,10-30-2020,Hyderabad,Electronics,3.5,0
3558.0,,,137225,582.4144877140441,2018-07-21,Chennai,Clothing,4.3,1
